RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Brazil,BRA,UMICs,1877200000000.0,1,Solar-energy,Mitigation,35,29.285866199999997,29.285866199999997
Brazil,BRA,UMICs,1877200000000.0,2,Bioenergy,Mitigation,93,15.984822249999997,15.984822249999997
Brazil,BRA,UMICs,1877200000000.0,3,Other-mitigation-projects,Mitigation,87,315.51976105,315.51976105
Brazil,BRA,UMICs,1877200000000.0,4,Biodiversity,Environment,117,57.225176367,0.0
Brazil,BRA,UMICs,1877200000000.0,6,Nature_conservation,Environment,106,57.91196860699998,0.0
Brazil,BRA,UMICs,1877200000000.0,7,Other-environment-projects,Environment,209,214.37217702600003,0.0
Brazil,BRA,UMICs,1877200000000.0,8,Sustainable-land-use,Environment,444,131.09836013400002,0.0
Brazil,BRA,UMICs,1877200000000.0,9,Marine-energy,Mitigation,1,0.0149433999999999,0.0149433999999999
Brazil,BRA,UMICs,1877200000000.0,10,Renewables-multiple,Mitigation,74,153.21462482,153.21462482
Brazil,BRA,UMICs,1877200000000.0,11,Hydro-energy,Mitigation,13,17.64856417,17.64856417
Brazil,BRA,UMICs,1877200000000.0,12,Energy-efficiency,Mitigation,34,12.89435851,12.89435851
Brazil,BRA,UMICs,1877200000000.0,13,Wind-energy,Mitigation,13,0.00676361,0.00676361
Burkina Faso,BFA,LDCs,14153973552.0,0,Adaptation,Adaptation,121,35.599467366673004,35.599467366673004
Burkina Faso,BFA,LDCs,14153973552.0,1,Solar-energy,Mitigation,70,37.281554994,37.281554994
Burkina Faso,BFA,LDCs,14153973552.0,2,Bioenergy,Mitigation,1,0.0272642999999999,0.0272642999999999
Burkina Faso,BFA,LDCs,14153973552.0,3,Other-mitigation-projects,Mitigation,4,1.438748,1.438748
Burkina Faso,BFA,LDCs,14153973552.0,4,Biodiversity,Environment,9,0.4421401199999999,0.0
Burkina Faso,BFA,LDCs,14153973552.0,6,Nature_conservation,Environment,25,3.1045711199999997,0.0
Burkina Faso,BFA,LDCs,14153973552.0,7,Other-environment-projects,Environment,69,8.47167282,0.0
Burkina Faso,BFA,LDCs,14153973552.0,8,Sustainable-land-use,Environment,235,100.45167204699999,0.0
Burkina Faso,BFA,LDCs,14153973552.0,10,Renewables-multiple,Mitigation,35,48.56711447600001,48.56711447600001
Burkina Faso,BFA,LDCs,14153973552.0,12,Energy-efficiency,Mitigation,10,0.2998236499999998,0.2998236499999998
Burundi,BDI,LDCs,3057118985.0,0,Adaptation,Adaptation,46,16.014157599999997,16.014157599999997
Burundi,BDI,LDCs,3057118985.0,1,Solar-energy,Mitigation,15,1.0353389999999996,1.0353389999999996
Burundi,BDI,LDCs,3057118985.0,2,Bioenergy,Mitigation,2,0.00813999,0.00813999
Burundi,BDI,LDCs,3057118985.0,4,Biodiversity,Environment,2,0.11163,0.0
Burundi,BDI,LDCs,3057118985.0,6,Nature_conservation,Environment,5,0.061137560999999806,0.0
Burundi,BDI,LDCs,3057118985.0,7,Other-environment-projects,Environment,17,3.32647908,0.0
Burundi,BDI,LDCs,3057118985.0,8,Sustainable-land-use,Environment,47,9.00963532,0.0
Burundi,BDI,LDCs,3057118985.0,10,Renewables-multiple,Mitigation,3,0.16434796000000002,0.16434796000000002
Burundi,BDI,LDCs,3057118985.0,11,Hydro-energy,Mitigation,3,0.0133562999999999,0.0133562999999999
Burundi,BDI,LDCs,3057118985.0,12,Energy-efficiency,Mitigation,2,0.10191349999999999,0.10191349999999999
Cabo Verde,CPV,Small Island Developing States,1795683047.0,0,Adaptation,Adaptation,30,2.1670666499999998,2.1670666499999998
Cabo Verde,CPV,Small Island Developing States,1795683047.0,1,Solar-energy,Mitigation,4,0.2894929999999999,0.2894929999999999
Cabo Verde,CPV,Small Island Developing States,1795683047.0,3,Other-mitigation-projects,Mitigation,9,2.0531498999999998,2.0531498999999998
Cabo Verde,CPV,Small Island Developing States,1795683047.0,4,Biodiversity,Environment,20,1.10018752,0.0
Cabo Verde,CPV,Small Island Developing States,1795683047.0,6,Nature_conservation,Environment,5,0.0077091,0.0
Cabo Verde,CPV,Small Island Developing States,1795683047.0,7,Other-environment-projects,Environment,28,1.4565147099999995,0.0
Cabo Verde,CPV,Small Island Developing States,1795683047.0,8,Sustainable-land-use,Environment,20,0.6290957799999994,0.0
Cabo Verde,CPV,Small Island Developing States,1795683047.0,10,Renewables-multiple,Mitigation,31,25.271029889999998,25.271029889999998
Cambodia,KHM,LDCs,22381009185.0,0,Adaptation,Adaptation,126,38.537671010000004,38.537671010000004
Cambodia,KHM,LDCs,22381009185.0,1,Solar-energy,Mitigation,16,0.36694099999999996,0.36694099999999996
Cambodia,KHM,LDCs,22381009185.0,2,Bioenergy,Mitigation,4,1.019008,1.019008
Cambodia,KHM,LDCs,22381009185.0,3,Other-mitigation-projects,Mitigation,21,1.097899,1.097899
Cambodia,KHM,LDCs,22381009185.0,4,Biodiversity,Environment,87,11.681105550000002,0.0
