RecipientName,climate_funding,climate finance (including nature),environment_funding,mitigation_funding,adaptation_funding,effective_funding
Central African Republic,0.0,5.361619429999999,5.361619429999999,0.0,0.0,5.361619429999999
Central African Republic,0.004596,0.004596,0.0,0.0,0.004596,0.004596
Central African Republic,0.09146349999999989,0.09146349999999989,0.0,0.09146349999999989,0.0,0.09146349999999989
Central African Republic,0.1672038099999999,0.1672038099999999,0.0,0.1672038099999999,0.0,0.1672038099999999
Chad,0.0,0.0883455299999999,0.0883455299999999,0.0,0.0,0.0883455299999999
Chad,0.0,0.3712766799999996,0.3712766799999996,0.0,0.0,0.3712766799999996
Chad,0.0,3.0242031000000003,3.0242031000000003,0.0,0.0,3.0242031000000003
Chad,0.0,27.49436693058,27.49436693058,0.0,0.0,27.49436693058
Chad,0.00338181,0.00338181,0.0,0.00338181,0.0,0.00338181
Chad,0.00462646,0.00462646,0.0,0.00462646,0.0,0.00462646
Chad,0.5685465399999999,0.5685465399999999,0.0,0.5685465399999999,0.0,0.5685465399999999
Chad,17.3705401,17.3705401,0.0,0.0,17.3705401,17.3705401
Chile,0.0,0.13356737000000002,0.13356737000000002,0.0,0.0,0.13356737000000002
Chile,0.0,0.3504723999999999,0.3504723999999999,0.0,0.0,0.3504723999999999
Chile,0.0,0.9732540099999999,0.9732540099999999,0.0,0.0,0.9732540099999999
Chile,0.0,3.1465895239999995,3.1465895239999995,0.0,0.0,3.1465895239999995
Chile,0.13159549999999992,0.13159549999999992,0.0,0.13159549999999992,0.0,0.13159549999999992
Chile,0.366,0.366,0.0,0.366,0.0,0.366
Chile,1.12360394,1.12360394,0.0,1.12360394,0.0,1.12360394
Chile,1.9382828099999998,1.9382828099999998,0.0,0.0,1.9382828099999998,1.9382828099999998
Chile,2.5766725800000003,2.5766725800000003,0.0,2.5766725800000003,0.0,2.5766725800000003
Chile,2.6799158399999996,2.6799158399999996,0.0,2.6799158399999996,0.0,2.6799158399999996
Chile,38.576391615,38.576391615,0.0,38.576391615,0.0,38.576391615
Chile,147.0648164,147.0648164,0.0,147.0648164,0.0,147.0648164
China (People's Republic of),0.0,59.58958539999999,59.58958539999999,0.0,0.0,59.58958539999999
China (People's Republic of),0.0,72.65533844,72.65533844,0.0,0.0,72.65533844
