DonorName,country_code,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Poland,POL,531055000000.0,1,Solar-energy,Mitigation,37,1.9870986799999995,1.9870986799999995
Poland,POL,531055000000.0,2,Bioenergy,Mitigation,9,0.4175672399999999,0.4175672399999999
Poland,POL,531055000000.0,3,Other-mitigation-projects,Mitigation,3,0.20112850000000002,0.20112850000000002
Poland,POL,531055000000.0,4,Biodiversity,Environment,6,0.042903975999999996,0.0
Poland,POL,531055000000.0,6,Nature_conservation,Environment,31,0.8006743199999993,0.0
Poland,POL,531055000000.0,7,Other-environment-projects,Environment,26,1.3296422209999996,0.0
Poland,POL,531055000000.0,8,Sustainable-land-use,Environment,26,1.3942719299999995,0.0
Poland,POL,531055000000.0,10,Renewables-multiple,Mitigation,16,2.3551366,2.3551366
Poland,POL,531055000000.0,11,Hydro-energy,Mitigation,4,0.9712069999999999,0.9712069999999999
Poland,POL,531055000000.0,12,Energy-efficiency,Mitigation,16,1.1605089999999998,1.1605089999999998
Portugal,PRT,221184000000.0,0,Adaptation,Adaptation,77,8.626118606799999,8.626118606799999
Portugal,PRT,221184000000.0,1,Solar-energy,Mitigation,8,2.9318337,2.9318337
Portugal,PRT,221184000000.0,2,Bioenergy,Mitigation,5,0.8774114000000001,0.8774114000000001
Portugal,PRT,221184000000.0,3,Other-mitigation-projects,Mitigation,36,7.1438802,7.1438802
Portugal,PRT,221184000000.0,4,Biodiversity,Environment,28,1.5903744999999994,0.0
Portugal,PRT,221184000000.0,6,Nature_conservation,Environment,17,2.50027037,0.0
Portugal,PRT,221184000000.0,7,Other-environment-projects,Environment,19,1.3844682599999996,0.0
Portugal,PRT,221184000000.0,8,Sustainable-land-use,Environment,40,2.852151219999999,0.0
Portugal,PRT,221184000000.0,10,Renewables-multiple,Mitigation,28,31.025947065999997,31.025947065999997
